Estacion,MAPE,uTheils,Indice de Correlación,Agreement
AJM,41.87248531183419,0.2346882010495882,0.6476645416183909,0.3923478360211583
MGH,76.87959367796745,0.2935897852498219,0.62186202044297,0.28497187850674743
CCA,73.61757755335253,0.27312348408367637,0.6601244828257363,0.37039346717384836
SFE,47.396538408373544,0.3039692119951498,0.6874311185748265,-0.30968591494114284
UAX,168.05350575338076,0.27596350394899766,0.7303263568650463,0.47233955209397116
CUA,22.624156445590273,0.08570596516046201,0.9590603205075123,0.920843504644217
NEZ,98.63835773891368,0.24473294690508898,0.7393372528663374,0.49638312227448567
CAM,109.54894910333508,0.27118662268979576,0.7074409706895705,0.4816981805771595
LPR,29.367293905310625,0.10051346797108829,0.9607128883537335,0.8936046814177379
SJA,92.32486635208326,0.2585282997917121,0.7233183986803678,0.5128805502736347
IZT,153.03312402825057,0.2759407301237279,0.7276146967196077,0.5089963845000838
SAG,81.1876299747432,0.2644859755795494,0.7032500780756511,0.4713012020760602
TAH,92.82638337488474,0.27415463714354027,0.6780200192768792,0.3968189789874176
ATI,30.214804548291163,0.11685826274801435,0.9488603624357496,0.858002780007266
FAC,65.67644310639888,0.27627094933493385,0.6366290530804223,0.4057361914281393
UIZ,27.564599958356332,0.07077535919175859,0.9815500370413079,0.9601887022871117
MER,31.165721550310185,0.08238625719520103,0.9764368665648969,0.9483036678563664
PED,25.47493213671207,0.07917206654321866,0.9751219247412091,0.9475646609881817
TLA,38.419865958350414,0.09812388894444891,0.9682984854737221,0.9252409595420791
XAL,37.237478504035096,0.13461393349286083,0.9526566941003896,0.8026622440105611
CHO,98.47076161248951,0.24400670716911949,0.7308973541339452,0.5170019012879835
BJU,27.784496123864802,0.07600967854984206,0.9773171388230999,0.9533229325723022
